gene_name	Control_Rep.A	Control_Rep.B	Treat1_Rep.A	Treat1_Rep.B	Treat2_Rep.A	Treat2_Rep.B	Treat3_Rep.A	Treat3_Rep.B
C1_06590C_A	11.29691621	11.26561505	11.28655776	11.10656294	11.57884439	11.67551604	11.436191	11.21856324
C1_06600W_A	12.666224	12.52012755	12.69783636	12.67551604	13.15750484	13.292753	12.90331701	12.69370474
C1_06610C_A	7.011227255	5.64385619	5.906890596	7.977279923	9.807354922	9.851749041	9.59058705	8.768184325
C1_06620C_A	3.584962501	3	2	5	6.266786541	6.129283017	2.321928095	3
C1_06630W_A	8.942514505	9.815383296	11.01889562	11.03617361	11.08281434	11.09671515	10.4252159	10.55362929
C1_06640C_A	9.445014846	9.876516947	9.505811554	8.906890596	9.063395081	9.095397023	8.854868383	8.857980995
C1_06650W_A	10.64745843	10.21310422	10.357552	10.00702727	10.24555271	10.26678654	9.477758266	9.025139562
C1_06660W_A	11.31004468	10.65463603	11.30035256	10.46658634	11.357552	11.39178061	12.03789009	11.65776504
C1_06670W_A	10.51471405	10.3586512	9.903881846	10.29920802	11.07815081	11.15101654	10.52356196	10.41468524
C1_06680W_A	9.385862401	8.968666793	9.129283017	8.335390355	10.39016896	10.45018025	10.00702727	10.18115226
C1_06690W_A	8.614709844	8.651051691	8.535275377	6.426264755	8.159871337	8.379378367	8.988684687	8.873444113
C1_06700W_A	10.16113188	9.853309555	9.82336724	7.686500527	9.52160044	9.517669388	10.32080055	10.25856603
C1_06710W_A	9.622051819	9.667111542	9.691743519	9.438791853	10.51865316	10.62570884	10.16741815	10.00702727
C1_06720C_A	9.62935662	9.403012024	9.4325419	8.861086906	9.238404739	9.294620749	9.30833903	9.400879436
C1_06730W_A	9.851749041	10.27844946	10.42836017	10.44501485	10.48582931	10.61930296	10.79522797	10.52845411
C1_06740C_A	8.28077077	9.079484784	9.659995892	8.022367813	8.640244936	8.625708843	8.159871337	8.164906927
C1_06750W_A	6.303780748	6.169925001	8.388017285	8.098032083	9.131856961	9.21916852	9.605479518	9.2644426
C1_06760C_A	8.915879379	9.791162889	10.70130646	9.501837185	10.11504365	10.22520744	7.930737338	8.038918989
C1_06770W_A	9.605479518	9.837627933	10.52552081	10.19475685	11.08679969	11.23421868	10.04712391	10.08480839
C1_06780W_A	12.357552	11.16490693	10.51569984	10.91363743	10.91438513	10.94397991	10.96938652	11.01680829
C1_06790C_A	9.548821908	10.54012804	10.26209485	10.01820018	10.50183718	10.56985561	9.729620744	9.515699838
C1_06800W_A	8.164906927	8.971543554	9.781359714	9.074141463	10.5137276	10.42836017	10.12023788	10.26678654
C1_06810W_A	10.39124359	10.69957245	9.552669098	10.08878824	11.95782756	12.03686045	14.06086478	13.97763769
C1_06820W_A	8.535275377	9.805743872	11.77519873	11.95601308	10.75238065	10.82654849	10.67507492	10.54496443
C1_06830W_A	1	0	0	1	2.807354922	2.584962501	1	1
C1_06840C_A	10.17741954	9.278449458	8.082149041	7.6794801	9.06608919	9.011227255	7.942514505	8.038918989
C1_06850W_A	12.30320995	11.58918297	10.52649924	10.73047014	10.34762137	10.39981196	10.19105921	10.09671515
C1_06860W_A	1	1	2.321928095	2.321928095	5.169925001	5.209453366	1.584962501	2.321928095
C1_06870C_A	8.885696373	7.539158811	10.42206477	5.672425342	6.303780748	6.169925001	7.321928095	6.50779464
